ide,marca,modelo,serial,activofijo,ubicacion,idesede,nitcliente,nombreequipo
1805,HAAG STREIT,OCTOPUS 60000,00660,0001,CAMPIMETRÍA,,800184080-0,CAMPIMETRO
1811,AIR IMETAN,PRECALIBRADO,123462,0007,SALA DE ESTERILIZACIÓN,,800184080-0,REGULADOR DE AIRE
1837,NIDEK,RT-600,25198,0033,CONSULTORIO 3,,800184080-0,FOROPTER
1806,APC,RT1500,QS1139231231,0002,CAMPIMETRÍA,,800184080-0,UPS
1822,TOPCON,SL 6E,664998,0018,CONSULTORIO 1,,800184080-0,LAMPARA DE HENDIDURA
1827,TOPCON,KR1,4490284,0023,CONSULTORIO 2,,800184080-0,AUTOREFRACTOMETRO
1832,VIEW,VLC 1900,L1NB09G0007,0028,CONSULTORIO 2,,800184080-0,PANTALLA DE CARTILLA VISUAL
1838,HAAG STREIT,BQ 90000,00346,0034,CONSULTORIO 3,,800184080-0,LAMPARA DE HENDIDURA
1843,MARUSON,MICRO UPS,NO REGISTRA,0039,CONSULTORIO 3,,800184080-0,UPS
1848,TOPCON,SL 6E,665051,0044,CONSULTORIO 4,,800184080-0,LAMPARA DE HENDIDURA
1853,TOPCON,OM-4,3010986,0049,CONSULTORIO 4,,800184080-0,QUERATOMETRO
1858,QUANTEL MEDICAL,AXIS NANO,1123,0054,EXÁMENES DIAGNÓSTICOS 1,,800184080-0,REGLA BIOMETRICA
1863,HAAG STREIT,LENSTAR LS 90000,00865,0059,EXÁMENES DIAGNÓSTICOS 2,,800184080-0,BIOMETRO
1883,PRELEC,AC 035MP,5551,0079,QUIRÓFANO 1,,800184080-0,REGULADOR DE VOLTAJE
1888,APC,BR1300G,4B1442P36155,0084,QUIRÓFANO 1,,800184080-0,UPS
1893,IRIDEX,SL 980 5X,18030287,0089,SALA DE LASER,,800184080-0,LAMPARA DE HENDIDURA
1898,TOMEY,SP-100,783609,0094,SALA DE LASER,,800184080-0,PAQUIMETRO
1908,WELCH ALLYN,TYCOS,91006171764,0104,ÁREA DE PREPARACIÓN DE PACIENTES,,800184080-0,TENSIOMETRO
1913,PRODIGY,AUTOCODE,51850-5115154,0109,SALA DE RECUPERACIÓN,,800184080-0,GLUCOMETRO
1918,AIR IMETAN,CGA R-915,126707,0114,SALA DE RECUPERACIÓN,,800184080-0,REGULADOR DE OXIGENO
1923,DAEWOO,FR-063N,TR13YEA7800087,0119,SERVICIO FARMACÉUTICO,,800184080-0,NEVERA
1928,EXTECH,445815,TE 005037,0124,SERVICIO FARMACÉUTICO,,800184080-0,TERMOHIGROMETRO
1817,NO REGISTRA,NO REGISTRA,1905740562,0013,OQULA,,800184080-0,LENSOMETRO DIGITAL
1807,ESSEN,SA - 600A,120508018-003,0003,SALA DE ESTERILIZACIÓN,,800184080-0,AUTOCLAVE
1813,MEDIC25,RK-11,K75KC2M,0009,OQULA,,800184080-0,AUTOREFRACTOMETRO
1823,TOPCON,OM-4,304809,0019,CONSULTORIO 1,,800184080-0,QUERATOMETRO
1828,INAMI,L 7040,228033,0024,CONSULTORIO 2,,800184080-0,FOROPTER
1833,WELCH ALLYN,11720,NO REGISTRA,0029,CONSULTORIO 2,,800184080-0,RETINOSCOPIO
1839,WELCH ALLYN,12500,1421013,0035,CONSULTORIO 3,,800184080-0,OFTALMOSCOPIO INDIRECTO
1844,LEONARD 2000,3000,218509,0040,CONSULTORIO 3,,800184080-0,UNIDAD OFTALMOLOGICA
1854,WELCH ALLYN,18200,NO REGISTRA,0050,CONSULTORIO 4,,800184080-0,RETINOSCOPIO
1859,OPTOVUE,AVANTI SCANNER,32672,0055,EXÁMENES DIAGNÓSTICOS 1,,800184080-0,TOMOGRAFO DE COHERENCIA ÓPTICA
